id;date_debut;date_fin;heure_debut;heure_fin;programme;programme_content_type;nombre_equipe_max;nombre_equipe;statut;valid;version
1;2020-04-25;2020-04-24;Plastic Money Market Account;Moldova Cambridgeshire;../fake-data/blob/hipster.png;image/png;83565;619;ENATTENTE;true;25406
2;2020-04-24;2020-04-25;Optional;GB black;../fake-data/blob/hipster.png;image/png;68457;1073;COMPLET;true;23183
3;2020-04-25;2020-04-24;programming system-worthy;capacitor Licensed deposit;../fake-data/blob/hipster.png;image/png;49531;85777;ENCOURS;true;89906
4;2020-04-25;2020-04-25;haptic;morph payment;../fake-data/blob/hipster.png;image/png;79011;76464;ENATTENTE;false;92716
5;2020-04-25;2020-04-25;Fresh collaborative;Granite calculating;../fake-data/blob/hipster.png;image/png;65276;5601;CLOTURE;false;76173
6;2020-04-25;2020-04-25;Macao;Wooden;../fake-data/blob/hipster.png;image/png;31648;61538;COMPLET;true;2154
7;2020-04-25;2020-04-25;Sausages Robust Mandatory;connecting Direct capacitor;../fake-data/blob/hipster.png;image/png;97163;39528;ENATTENTE;false;83365
8;2020-04-25;2020-04-25;Markets black;intuitive mint green multi-byte;../fake-data/blob/hipster.png;image/png;84946;10789;ENATTENTE;false;29395
9;2020-04-25;2020-04-24;Wyoming;Liaison;../fake-data/blob/hipster.png;image/png;76177;20575;CLOTURE;false;97998
10;2020-04-25;2020-04-24;Handcrafted Soft Chicken plum Engineer;Shore Dynamic Islands;../fake-data/blob/hipster.png;image/png;94583;97552;ENCOURS;false;56255
